cnpj,codigo_B3,registro_cancelado
00.416.968/0001-01,BIDI11,False
91.669.747/0001-92,FNCN3,False
08.811.643/0001-27,TRIS3,False
33.467.572/0001-34,TKNO4,False
05.721.735/0001-28,WSON33,False
04.986.320/0001-13,SEER3,False
80.227.184/0001-66,MTIG4,False
08.764.621/0001-53,GSHP3,False
60.770.336/0001-65,BRIV3,False
90.400.888/0001-42,SANB3,False
07.820.907/0001-46,CRDE3,False
10.285.590/0001-08,SOMA3,False
61.024.352/0001-71,IDVL4,False
19.526.748/0001-50,CATA4,False
15.101.405/0001-93,CORR3,False
82.643.537/0001-34,EALT3,False
02.193.750/0001-52,GPCP3,False
33.040.601/0001-87,MERC4,False
88.610.191/0001-54,MNDL3,False
04.128.563/0001-10,TIET3,False
05.730.375/0001-20,SMLS3,False
05.197.443/0001-38,HAPV3,False
07.882.930/0001-65,MTRE3,False
06.948.969/0001-75,LINX3,False
01.545.826/0001-07,GFSA3,False
07.047.251/0001-70,COCE5,False
17.346.997/0001-39,RLOG3,False
14.807.945/0001-24,SNSY6,False
92.791.243/0001-03,RANI3,False
92.702.067/0001-96,BRSR5,False
42.150.391/0001-70,BRKM6,False
07.047.251/0001-70,COCE3,False
90.400.888/0001-42,SANB11,False
00.336.701/0001-04,TELB3,False
08.065.557/0001-12,TCSA3,False
08.402.943/0001-52,GUAR3,False
60.872.504/0001-23,ITUB3,False
76.483.817/0001-20,CPLE6,False
19.378.769/0001-76,PARD3,False
15.141.799/0001-03,FESA4,False
13.009.717/0001-46,BGIP4,False
76.627.504/0001-06,INEP4,False
60.894.730/0001-05,USIM6,False
17.167.396/0001-69,RPAD6,False
61.351.532/0001-68,AZEV4,False
92.929.520/0001-00,SPRI6,False
08.560.444/0001-93,GPAR3,False
22.677.520/0001-76,CTNM4,False
92.693.019/0001-89,PATI4,False
08.534.605/0001-74,RNEW3,False
08.159.965/0001-33,IGSN3,False
88.611.835/0001-29,POMO3,False
33.958.695/0001-78,UNIP6,False
12.049.631/0001-84,MDNE3,False
03.467.321/0001-99,ENMT4,False
07.857.850/0001-50,GPIV33,False
33.592.510/0001-54,VALE3,False
33.035.536/0001-00,JFEN3,False
04.031.213/0001-31,CACO3B,False
01.971.614/0001-83,ECPR4,False
59.285.411/0001-13,BPAN4,False
92.929.520/0001-00,SPRI3,False
30.540.991/0001-66,HAGA4,False
21.314.559/0001-66,MOVI3,False
08.343.492/0001-20,MRVE3,False
09.112.685/0001-32,OSXB3,False
10.835.932/0001-08,CEPE5,False
61.156.113/0001-75,MYPK3,False
76.484.013/0001-45,SAPR4,False
83.878.892/0001-55,CLSC3,False
04.030.182/0001-02,CABI3B,False
59.105.999/0001-86,WHRL4,False
82.643.537/0001-34,EALT4,False
28.127.603/0001-78,BEES3,False
03.378.521/0001-75,LIGT3,False
33.000.167/0001-01,PETR3,False
30.306.294/0001-45,BPAC11,False
82.508.433/0001-17,CASN3,False
15.115.504/0001-24,CRPG5,False
60.651.809/0001-05,NEMO5,False
89.637.490/0001-45,KLBN4,False
03.467.321/0001-99,ENMT3,False
10.338.320/0001-00,AFLT3,False
17.193.806/0001-46,BRGE11,False
87.762.563/0001-03,HBTS6,False
43.470.988/0001-65,EVEN3,False
29.780.061/0001-09,SCAR3,False
15.139.629/0001-94,CEEB3,False
92.791.243/0001-03,RANI4,False
08.467.115/0001-00,CEED4,False
29.950.060/0001-57,NRTQ3,False
02.932.074/0001-91,HYPE3,False
11.669.021/0001-10,ENAT3,False
17.155.730/0001-64,CMIG3,False
00.776.574/0001-56,BTOW3,False
00.938.574/0001-05,CRTE5B,False
10.629.105/0001-68,PRIO3,False
91.333.666/0001-17,RCSL4,False
02.664.042/0001-52,MNZC3B,False
92.660.570/0001-26,LUXM4,False
59.105.999/0001-86,WHRL3,False
36.542.025/0001-64,BRQB3,False
02.429.144/0001-93,CPFE3,False
08.534.605/0001-74,RNEW4,False
56.643.018/0001-66,EUCA3,False
42.150.391/0001-70,BRKM5,False
33.256.439/0001-39,UGPA3,False
92.754.738/0001-62,LREN3,False
60.770.336/0001-65,BRIV4,False
02.998.301/0001-81,GEPA4,False
61.186.680/0001-74,BMGB4,False
00.000.000/0001-91,BBAS11,False
08.807.432/0001-10,YDUQ3,False
06.164.253/0001-87,GOLL4,False
33.386.210/0001-19,SOND6,False
61.022.042/0001-18,CALI4,False
01.417.222/0001-77,MRSA5B,False
92.690.783/0001-09,GOAU3,False
33.000.167/0001-01,PETR4,False
62.002.886/0001-60,AHEB5,False
89.086.144/0001-16,RAPT4,False
09.288.252/0001-32,ANIM3,False
17.344.597/0001-94,BBSE3,False
84.693.183/0001-68,SHUL4,False
60.872.504/0001-23,ITUB4,False
18.593.815/0001-97,PRNR3,False
60.543.816/0001-93,JPSA3,False
02.800.026/0001-40,COGN3,False
15.139.629/0001-94,CEEB6,False
95.426.862/0001-97,BAUH4,False
02.162.616/0001-94,UPKP3B,False
60.884.319/0001-59,NORD3,False
15.115.504/0001-24,CRPG6,False
17.314.329/0001-20,MEAL3,False
67.010.660/0001-24,RDNI3,False
00.000.000/0001-91,BBAS12,False
43.776.517/0001-80,SBSP3,False
47.508.411/0001-56,PCAR3,False
16.590.234/0001-76,ARZZ3,False
10.851.805/0001-00,FLEX3,False
60.933.603/0001-78,CESP3,False
92.715.812/0001-31,EEEL3,False
00.272.185/0001-93,CMSA3,False
33.014.556/0001-96,LAME4,False
02.193.750/0001-52,GPCP4,False
28.195.667/0001-06,ABCB4,False
15.527.906/0001-36,BSEV3,False
96.418.264/0218-02,LJQQ3,False
19.688.956/0001-56,GBIO33,False
24.962.466/0001-36,FRRN6B,False
85.778.074/0001-06,RSUL3,False
89.637.490/0001-45,KLBN3,False
42.331.462/0001-31,BTTL3,False
60.933.603/0001-78,CESP5,False
04.065.791/0001-99,SQIA3,False
61.079.117/0001-05,ALPA4,False
08.534.605/0001-74,RNEW11,False
83.878.892/0001-55,CLSC4,False
12.648.266/0001-24,AMBP3,False
01.971.614/0001-83,ECPR3,False
00.416.968/0001-01,BIDI3,False
03.847.461/0001-92,BRAP3,False
76.535.764/0001-43,OIBR3,False
33.958.695/0001-78,UNIP5,False
17.193.806/0001-46,BRGE6,False
92.012.467/0001-70,CGRA3,False
10.345.009/0001-98,ADHM3,False
42.150.391/0001-70,BRKM3,False
17.184.037/0001-10,BMEB3,False
82.640.558/0001-04,CTKA3,False
15.144.017/0001-90,CSAB3,False
61.156.931/0001-78,APTI3,False
02.762.121/0001-04,STBP3,False
03.014.553/0001-91,TPIS3,False
82.640.558/0001-04,CTKA4,False
17.167.396/0001-69,RPAD3,False
04.913.711/0001-08,BPAR3,False
60.651.809/0001-05,NEMO6,False
02.351.877/0001-52,LWSA3,False
92.665.611/0001-77,PNVL3,False
76.484.013/0001-45,SAPR3,False
12.108.897/0001-50,DMVF3,False
87.762.563/0001-03,HBTS5,False
33.040.601/0001-87,MERC3,False
89.637.490/0001-45,KLBN11,False
07.047.251/0001-70,COCE6,False
10.760.260/0001-19,CVCB3,False
92.781.335/0001-02,TASA3,False
00.864.214/0001-06,ENGI11,False
73.178.600/0001-18,CYRE3,False
02.357.251/0001-53,LMED3,False
16.670.085/0001-55,RENT3,False
61.065.298/0001-02,MGEL4,False
14.807.945/0001-24,SNSY5,False
01.027.058/0001-91,CIEL3,False
76.483.817/0001-20,CPLE5,False
61.532.644/0001-15,ITSA3,False
92.693.019/0001-89,PATI3,False
03.303.999/0001-36,DTCY3,False
82.508.433/0001-17,CASN4,False
04.821.041/0001-08,FRIO3,False
51.466.860/0001-56,SMTO3,False
33.958.695/0001-78,UNIP3,False
61.189.288/0001-89,AMAR3,False
08.312.229/0001-73,EZTC3,False
00.359.742/0001-08,ATOM3,False
02.302.101/0001-42,EMAE3,False
07.689.002/0001-89,EMBR3,False
17.184.037/0001-10,BMEB4,False
02.302.101/0001-42,EMAE4,False
21.255.567/0001-89,CTSA8,False
07.859.971/0001-30,TAEE11,False
90.400.888/0001-42,SANB4,False
04.902.979/0001-44,BAZA3,False
02.474.103/0001-19,EGIE3,False
92.690.783/0001-09,GOAU4,False
03.758.318/0001-24,IVPR4B,False
92.929.520/0001-00,SPRI5,False
34.274.233/0001-02,BRDT3,False
02.860.694/0001-62,SHOW3,False
07.859.971/0001-30,TAEE4,False
76.535.764/0001-43,OIBR4,False
07.437.016/0001-05,CNSY3,False
33.611.500/0001-19,GGBR4,False
75.315.333/0001-09,CRFB3,False
00.070.698/0001-11,CEBR5,False
16.614.075/0001-00,DIRR3,False
08.294.224/0001-65,JHSF3,False
01.938.783/0001-11,PEAB3,False
92.660.570/0001-26,LUXM3,False
01.938.783/0001-11,PEAB4,False
51.218.147/0001-93,IGTA3,False
06.272.793/0001-84,EQMA5B,False
00.001.180/0001-26,ELET6,False
76.483.817/0001-20,CPLE3,False
07.628.528/0001-59,AGRO3,False
05.495.546/0001-84,LTLA3B,False
06.272.793/0001-84,EQMA3B,False
84.683.671/0001-94,MWET3,False
07.237.373/0001-20,BNBR3,False
33.839.910/0001-11,VIVA3,False
60.537.263/0001-66,ALPK3,False
04.423.567/0001-21,ENEV3,False
08.795.211/0001-70,MSRO3,False
07.206.816/0001-15,MDIA3,False
33.412.081/0001-96,RPMG3,False
60.746.948/0001-12,BBDC4,False
92.702.067/0001-96,BRSR3,False
00.864.214/0001-06,ENGI4,False
02.558.157/0001-62,VIVT3,False
56.720.428/0001-63,ROMI3,False
06.981.381/0001-13,CTCA3,False
03.303.999/0001-36,DTCY4,False
03.758.318/0001-24,IVPR3B,False
87.456.562/0001-22,JOPA4,False
60.500.139/0001-26,SLED4,False
61.082.004/0001-50,ESTR3,False
42.278.473/0001-03,WIZS3,False
09.295.063/0001-97,TECN3,False
86.550.951/0001-50,FRTA3,False
76.484.013/0001-45,SAPR11,False
17.167.412/0001-13,CRIV4,False
33.611.500/0001-19,GGBR3,False
00.272.185/0001-93,CMSA4,False
01.851.771/0001-55,QVQP3B,False
02.998.611/0001-04,TRPL3,False
88.613.658/0001-10,PTNT4,False
15.141.799/0001-03,FESA3,False
16.404.287/0001-55,SUZB3,False
24.962.466/0001-36,FRRN5B,False
33.228.024/0001-51,WLMM4,False
62.002.886/0001-60,AHEB6,False
08.078.847/0001-09,LPSB3,False
85.778.074/0001-06,RSUL4,False
07.594.978/0001-78,SMFT3,False
29.978.814/0001-87,SULA4,False
13.574.594/0001-96,BKBR3,False
08.574.411/0001-00,PTCA3,False
90.441.460/0001-48,UCAS3,False
07.718.269/0001-57,SGPS3,False
93.828.986/0001-73,MAPT3,False
60.894.730/0001-05,USIM3,False
20.258.278/0001-70,OFSA3,False
11.721.921/0001-60,APER3,False
60.730.348/0001-66,MSPA3,False
60.851.615/0001-53,BDLL4,False
02.998.611/0001-04,TRPL4,False
24.962.466/0001-36,FRRN3B,False
03.853.896/0001-40,MRFG3,False
33.050.071/0001-58,CBEE3,False
15.115.504/0001-24,CRPG3,False
00.001.180/0001-26,ELET5,False
50.564.053/0001-03,BOBR3,False
00.864.214/0001-06,ENGI3,False
50.926.955/0001-42,VULC3,False
10.835.932/0001-08,CEPE6,False
17.161.241/0001-15,MMAQ4,False
22.677.520/0001-76,CTNM3,False
60.851.615/0001-53,BDLL3,False
11.395.624/0001-71,BPHA,True
61.074.506/0001-30,MAFE,True
01.258.943/0001-81,SQRM,True
61.411.633/0001-87,BESP,True
02.860.694/0001-62,SHOW,True
89.723.993/0001-33,SULT,True
02.628.033/0001-06,LTEC,True
07.110.438/0001-71,BTSE,True
00.751.913/0001-40,ENLT,True
61.087.912/0001-37,COPA,True
61.150.751/0001-89,PIRE,True
17.317.686/0001-41,ALTE,True
14.962.356/0001-10,FGOL,True
02.302.098/0001-67,EPTE,True
08.695.953/0001-23,BOVH,True
92.749.167/0001-78,NEUG,True
84.720.630/0001-20,EBCO,True
01.545.832/0001-56,IRRI,True
67.437.434/0001-24,TCSC,True
01.655.694/0001-68,TETE,True
97.395.172/0001-43,IVEN,True
33.033.960/0001-07,SANO,True
08.665.255/0001-85,TARP,True
24.962.466/0001-36,FRRN,True
71.722.607/0001-23,PLPT,True
05.388.437/0001-68,ULBR,True
02.783.425/0001-40,ALIU,True
34.177.279/0001-03,GAFP,True
60.881.422/0001-45,AUTO,True
00.886.257/0001-92,ATMO,True
02.332.397/0001-44,TPRC,True
61.489.514/0001-47,LAEL,True
07.073.027/0001-53,TVIT,True
01.596.401/0001-19,CPAA,True
92.689.173/0001-87,AFRD,True
62.545.686/0001-53,OXIT,True
02.250.726/0001-08,SPEL,True
08.383.595/0001-13,DUFB,True
00.183.435/0001-19,BSFO,True
61.081.972/0001-42,IBRC,True
43.443.464/0001-85,LBBO,True
21.728.500/0001-14,PACF,True
02.808.481/0001-91,AETA,True
13.776.362/0001-10,BTUR,True
84.683.762/0001-20,DUQE,True
23.116.551/0001-10,CFTP,True
25.329.319/0001-96,WMBY,True
33.470.022/0001-74,FGUI,True
61.015.582/0001-74,CPEE,True
58.877.812/0001-08,CPNY,True
04.030.087/0001-09,COAR,True
17.155.151/0001-11,MROE,True
27.251.974/0001-02,CSTB,True
05.707.616/0001-10,BSAN,True
92.859.974/0001-43,ALTS,True
02.558.154/0001-29,TNCP,True
61.074.092/0001-49,MSAN,True
33.550.104/0001-29,LOSA,True
01.245.375/0001-84,GLTR,True
89.940.878/0001-10,LCSA,True
88.610.779/0001-08,SEBE,True
34.274.233/0001-02,BRDT,True
78.594.876/0001-09,TRPA,True
57.488.645/0001-32,ELUM,True
15.182.652/0001-61,IBAN,True
61.149.084/0001-14,ITPS,True
02.258.274/0001-00,PICO,True
07.794.351/0001-60,ABYA,True
00.027.742/0001-00,CBCC,True
16.921.603-0001-66,BIOB,True
01.394.549/0001-70,GMSA,True
02.762.113/0001-50,BFRE,True
62.291.380/0001-18,ATBS,True
02.998.609/0001-27,GETI,True
43.642.727/0001-85,TLSP,True
28.500.320/0001-20,VRLM,True
07.950.674/0001-04,CCXC,True
10.382.341/0001-22,DXXI,True
33.323.742/0001-07,BGFF,True
17.170.150/0001-46,MANM,True
