ticker,quarter,B_sum,S_sum,days_traded,alpha,delta,mu,epsilon_b,epsilon_s,likelihood,PIN
EMBR3,2019Q4,261723,238032,61,0.7433856713313733,0.9674383158020832,433.9445891266042,6674.528969730699,5466.875588425548,inf,0.025881609227008
ENAT3,2021Q1,112833,110933,60,0.5333335717519124,0.9062500670552254,467.5591044142615,1797.6504085858664,1682.4205581988058,inf,0.0668639900453974
ENAT3,2020Q4,113061,112139,61,0.1457810947909221,0.9590790503782388,516.0404106617319,2847.943282495001,2722.566364236962,inf,0.0133249060189251
ENAT3,2020Q3,187293,185521,65,0.4923079307262714,0.9687500223517418,698.9661937040436,2837.1426542811087,2554.3547681920672,inf,0.0599948321211821
ENAT3,2020Q2,226332,259518,61,0.7704919674357429,0.063829832888664,357.99391191994823,3532.649585569606,4156.278834869122,inf,0.0346314814988353
ENAT3,2020Q1,182471,169647,62,0.6066855213711988,0.5569042543907364,369.0111368883591,4390.933644798843,4133.528581345923,inf,0.0255904340559458
ENAT3,2019Q4,98422,100960,61,0.0485936901779368,0.9386184834054436,596.5855614060401,2555.045274859622,2592.9157089006226,inf,0.0055998776848637
ENBR3,2021Q1,259575,299334,60,0.7500002384185791,0.0222222381167941,520.6929378531075,4059.565403625369,4865.071276377825,inf,0.0419230559590462
ENBR3,2020Q4,270862,276282,61,0.62863145582365,0.5395880219839977,695.4201292315738,6590.35865937424,6576.322334608414,inf,0.0321352530550662
ENBR3,2020Q3,361748,393296,65,0.3941715064835065,0.1262873157377116,662.6586543625231,6596.089965678739,7403.587749090588,inf,0.0183159230484152
ENBR3,2020Q2,349626,367092,61,0.7761727195574508,0.2957139241187984,449.7059887443874,8804.145171136628,9004.228844044052,inf,0.0192235159136552
ENBR3,2020Q1,449298,459012,62,0.8721935949017927,0.0426181611147793,357.4952542009083,10062.022922718526,4189.233136724254,inf,0.0214106820077609
ENBR3,2019Q4,320169,275693,61,0.6287707121020458,0.9727142683846612,506.2368297588616,5508.391122645935,4881.691189007229,inf,0.0297250021350514
ENEV3,2021Q1,237480,241319,60,0.5126906984309789,0.9762393763509324,518.0296966929452,5668.672189756016,5793.10593154695,inf,0.0226469423272674
ENEV3,2020Q4,179338,181665,61,0.0489683772272136,0.1441052906458509,250.34886359601285,2735.060692686869,2908.280980922789,inf,0.0021676171840117
ENEV3,2020Q3,237584,244930,65,0.6064373777596328,0.2083439446737242,435.1510880807044,5244.6811129710295,5983.674514475106,inf,0.0229626001792997
ENEV3,2020Q2,238925,261273,61,0.4140163578214552,0.6759518636178445,461.020689064308,6237.006592345088,6492.682546390233,inf,0.0147725886273957
ENEV3,2020Q1,257739,231910,62,0.7435485873683807,0.024999988688979,652.0209018921645,4031.787106396676,4218.347321469666,inf,0.05550227225853
ENEV3,2019Q4,217474,210498,61,0.6565575773207868,0.5114863243618526,597.3571966032943,3700.428123755228,3701.205070189543,inf,0.0503217626734569
ENGI3,2021Q1,4975,5471,60,0.3040574271335099,0.2454945093270747,125.27634552724992,30.760339636816184,60.65085341253803,inf,0.294135123171355
ENGI3,2020Q4,3115,2980,61,0.2295083608783659,0.3571430955614363,73.02006792657228,43.480800330638885,39.67859980889729,inf,0.1677245001367077
ENGI3,2020Q3,2393,2668,65,0.2936187766748512,0.5742598506747547,56.8927121229933,31.210340897613943,29.946421791036613,13950.132222261916,0.2145445674222268
ENGI3,2020Q2,2299,2225,61,0.2994945527752164,0.6784352814817016,63.46419779949008,31.765577178811185,23.391188819783093,12421.697887501305,0.2562860010657276
ENGI3,2020Q1,1364,1406,62,0.1912713495423447,0.6562169437169374,41.95687255084475,19.04062083993547,17.611652377278617,6099.221465138729,0.179624237080618
ENGI3,2019Q4,1362,1270,61,0.0491803395858834,0.3333332006179184,98.80243309378643,19.40939083334796,18.879014981873382,5767.6662178790175,0.1126167765441183
ENGI4,2021Q1,5683,6680,60,0.3492986311726007,0.8063810973843499,123.18667723583866,87.2685800115078,75.75243075045822,45894.07004846138,0.2088277044017697
ENGI4,2020Q4,3081,2895,61,0.2134427242591733,0.4687997722625733,124.0334316278405,49.79491364907244,22.01998805177623,inf,0.2693490725014916
ENGI4,2020Q3,2762,4125,65,0.3972655821653528,0.7478100898968563,76.73888579975042,36.96027473118146,38.50785384774508,21356.002405885934,0.2877263930045612
ENGI4,2020Q2,2723,3046,61,0.2945600681172559,0.940396946629282,71.65266631695823,43.71890881644165,29.748848989666943,17036.61885092926,0.2231698472793725
ENGI4,2020Q1,1010,1228,62,0.1895602193022091,0.9999999852179072,43.121920917254094,16.29026920306071,11.631512347216836,4561.3320945454925,0.226457357766256
ENGI4,2019Q4,566,568,61,0.2917220369962759,0.6409116878985583,16.716418044649146,7.7277183666706595,5.985902314051367,1521.7153592404409,0.2623186336861722
ENJU3,2021Q1,122444,125126,60,0.149586670830946,0.9996959551299422,669.6158408790784,3088.4128799224527,3470.249821271403,inf,0.0150425269696516
ENJU3,2020Q4,43776,41204,36,0.0506239290363285,0.2999343440650666,0.0,1215.9999604682234,1144.5555309897068,516165.3908932172,0.0
ENMT3,2021Q1,545,221,40,0.1750550060472054,0.1428122661384556,54.71175874951539,6.189972407223845,3.382458764842012,1491.04191090349,0.5001341014909835
