ticker,quarter,B_sum,S_sum,days_traded,alpha,delta,mu,epsilon_b,epsilon_s,likelihood,PIN
ELET3,2020Q4,362655,372189,61,0.0074634678741793,0.9967416392599512,333.9599132545711,5848.682897627525,6047.672455080732,5664629.538007826,0.0002094739856232
ELET3,2020Q3,751146,743966,65,0.9971491290695664,0.0272960826838677,1930.7944679236325,8753.341695997437,11510.569096915156,12497375.475084877,0.086766983549925
ELET3,2020Q1,636583,648826,62,0.3225819151337824,0.649999010054098,7701.885830132636,9383.992569090697,8863.930785387849,10641204.645385535,0.1198359857508548
ELET3,2019Q4,499477,458905,61,0.0795050760716218,0.0202643971832646,841.9865845645463,7388.08244686612,7141.297419568662,7645854.320017735,0.0045862380343626
ELET5,2021Q1,103,39,21,0.7851738232932717,1.0,1.9603775031524315,4.836771746563744,0.0616794080040694,53.82984406001548,0.2390978001048567
ELET5,2019Q4,11,3,7,0.7348971134305289,0.8853722593822873,0.4021709988999555,1.4324813487487336,4.172239563032433e-38,-11.031443133669198,0.171034842568872
ELET6,2021Q1,328851,297975,60,0.2000019576343464,0.0833320299220981,9908.9617576059,3615.454756274145,4849.852790491153,4809344.08252739,0.1896993509326545
ELET6,2020Q4,227167,206765,61,0.426229148727806,0.2692286178050783,2328.440696971304,2978.991971802924,3142.1971590270327,3127697.1631672955,0.1395135986068006
ELET6,2020Q3,431901,428116,65,0.1692310858579561,0.8181818579766991,8443.426324172116,6422.120106525801,5380.023428689209,6746869.778974453,0.1079953564653474
ELET6,2020Q2,420708,447895,61,0.2950834567320278,0.8888889125999595,5031.252743686061,6761.622997743705,5993.138332648579,6858227.6054448765,0.1042627758050226
ELET6,2019Q4,298314,281458,61,0.1104194335294003,0.0733431156941116,16.40510830894177,4884.371066831233,4610.641019760784,4329155.52634734,0.000190741963443
ELMD3,2021Q1,15686,22242,31,0.1612975195043707,0.9999999647255636,1985.0907166571487,505.9983484316463,397.30946213160655,214175.91111006605,0.2617006350448217
EMAE4,2021Q1,1349,1616,60,0.0499997105528909,0.9999999997971916,187.78937267436535,22.48333202190727,17.54386301946445,7366.900578849824,0.1900052311931352
EMAE4,2020Q4,1157,1058,61,0.1150200018051837,0.2855708695650134,83.45073963704453,10.913632106812203,15.799342670741073,4848.788991016647,0.2643380134245245
EMAE4,2020Q3,954,570,65,0.4409524342671049,1.0,11.174288837003902,14.67692459288521,3.8419002259391113,2353.0729397041346,0.2101551376147516
EMAE4,2020Q2,1166,926,61,0.3907415243591037,0.7278352470679674,19.07435047325036,17.149108938892716,9.69282590183508,3997.925129568858,0.2173239348554204
EMAE4,2020Q1,1826,983,62,0.6766851350201128,1.0,13.42095924406438,29.451613566760724,6.773076137366085,6142.37482258104,0.2004518772097279
EMAE4,2019Q4,1168,574,59,0.1530158655003057,1.3088396843847132e-05,73.67761606243457,8.560724666683015,9.732145801879197,3720.6384102589286,0.3813018903203345
EMBR3,2021Q1,423182,411866,60,0.6063374665651622,0.0174091560588843,10.533726109410743,7041.452148102026,6856.330007648087,6553398.805971402,0.0004593581057906
EMBR3,2020Q4,337055,333182,61,0.344262777761837,0.4285708359435924,4216.830545721075,4625.843864166913,4909.951914208137,5125725.245096887,0.1321227436502584
EMBR3,2020Q2,889562,934282,61,0.3087126173265996,0.2867896914977181,14918.843625242436,11240.96635169067,14255.771800704406,15802237.02612312,0.1529990741751308
ENAT3,2021Q1,112833,110933,60,0.3666662293636384,0.7272726827181908,1389.777035395069,1730.0336616281452,1489.8147909910244,1469345.0194035813,0.1366385555960863
ENAT3,2020Q4,113061,112139,61,0.5023182714974737,1.0,1088.585280562273,1917.9910996299031,1344.2934928062298,1474075.7594161436,0.1435552103562366
ENAT3,2020Q3,187293,185521,65,0.0691953752814726,1.0,1674.220659720026,3177.5723495627617,2245.1060119075064,2604634.633976942,0.020916812967166
ENAT3,2020Q2,226332,259518,61,0.4590152542922182,0.3928569937145991,2181.0397665751884,3110.4440193891214,3853.1772025523287,3554665.097645272,0.1256951321429747
ENAT3,2020Q1,182471,169647,62,0.4516126601446536,0.2500004710503523,1727.6987825137758,2375.07840381216,2523.9932265613807,2457679.1879796647,0.1373844634146026
ENAT3,2019Q4,98422,100960,61,0.2950820677086575,0.499999461612385,1211.2404171270375,1441.301919971417,1469.8401192104402,1281776.7683359715,0.109349565193624
ENBR3,2021Q1,259575,299334,60,0.3833327098905604,0.5217389932015581,3462.0083020090897,3704.9406400261296,4283.106335882953,4184274.916565148,0.1424669821751998
ENBR3,2020Q4,270862,276282,61,1.0,0.393345438772401,1250.2320029273517,3701.65111941584,4017.611657454184,4058633.0912210695,0.1393871152858394
ENBR3,2020Q3,361748,393296,65,0.3076929582153676,0.0999996780122024,3669.827569150553,4530.243537860655,5956.639621467176,5805833.051559051,0.0972085013310139
ENBR3,2020Q2,349626,367092,61,0.2295080560306114,0.7142821360068891,3718.857086007733,5505.393942487553,5390.573114057806,5515784.082070824,0.0726421972915612
ENEV3,2021Q1,237480,241319,60,0.349998999880164,0.3809516208768742,3714.324094430333,3085.033043269278,3594.9369880884,3516437.0877625705,0.1629088994041881
ENEV3,2020Q4,179338,181665,61,0.3278701717339279,0.9500000875508312,2550.447696470982,2906.3765366153348,2175.4929104098906,2538356.795551793,0.1412983591889603
ENEV3,2020Q3,237584,244930,65,0.5076905642522429,0.0303024533608067,2243.290258730216,2547.6908245214813,3736.700697694516,3495232.423193044,0.1534221993696229
ENEV3,2020Q2,238925,261273,61,0.4918024420226586,1.0,2498.119792457805,3916.803261278768,3054.580442173697,3672507.91555244,0.1498276391105261
ENEV3,2019Q4,217474,210498,61,0.3770502235679112,0.3043485108459439,2061.157334687331,3024.8787588489104,3213.8979956834805,3075350.034648849,0.1107706468070295
ENGI3,2020Q3,2393,2668,65,0.2936188783947921,0.574259670529176,56.89271647883823,31.210342947648154,29.9464259750858,13950.13222226193,0.2145446215260016
ENGI3,2020Q2,2299,2225,61,0.299494449365594,0.6784349039819186,63.46419611272516,31.765573514743902,23.39118479991216,12421.697887501296,0.2562859567412991
ENGI3,2020Q1,1364,1406,62,0.1912712081803419,0.65621705977652,41.95686011889326,19.04062488464634,17.61165255577073,6099.221465138728,0.1796240675301485
ENGI3,2019Q4,1362,1270,61,1.0,0.3972673128251827,12.57616173170889,14.535545135644323,16.035833172448903,5531.919610465145,0.2914688003095382
ENGI4,2021Q1,5683,6680,60,0.3492986745917784,0.8063805172375752,123.18670042617168,87.26859118399277,75.75244624972507,45894.07004846157,0.2088277290107922
